[2017-11-03 10:28:54,944] - logger.py] - INFO: ------用户名密码为空：start!---------
[2017-11-03 10:28:56,087] - logger.py] - INFO: ------用户名密码为空：stop!---------
[2017-11-03 10:28:56,088] - logger.py] - INFO: ------用户名为空，密码正确：start!---------
[2017-11-03 10:28:56,499] - logger.py] - INFO: ------用户名为空，密码正确：stop!---------
[2017-11-03 10:28:56,500] - logger.py] - INFO: ------用户名正确，密码为空：start!---------
[2017-11-03 10:28:56,852] - logger.py] - INFO: ------用户名正确，密码为空：stop!---------
[2017-11-03 10:28:56,853] - logger.py] - INFO: ------用户名密码为大写：start!---------
[2017-11-03 10:28:58,076] - logger.py] - INFO: ------用户名密码为大写：stop!---------
[2017-11-03 10:28:58,077] - logger.py] - INFO: ------用户名密码正确：start!---------
[2017-11-03 10:28:59,521] - logger.py] - INFO: ------用户名密码正确：stop!---------
[2017-11-03 10:28:59,521] - logger.py] - INFO: ------退出登录：start!---------
[2017-11-03 10:29:00,351] - logger.py] - INFO: ------退出登录：stop!---------
